"bed","dauer.t1","case","ok.t1","swb1.t1","swb2.t1","swb3.t1","swb4.t1","swb5.t1","swb6.t1","swb7.t1","swb8.t1","swb9.t1","swb10.t1","swb11.t1","swb12.t1","t1.t1","t2.t1","t3.t1","t4.t1","t5.t1","t6.t1","t7.t1","t8.t1","gbk1.t1","gbk2.t1","gbk3.t1","gbk4.t1","gbk5.t1","gbk6.t1","gbk8.t1","gbk9.t1","gbk10.t1","gbk11.t1","gbk12.t1","check.t1","gbk13.t1","gbk14.t1","gbk15.t1","gbk16.t1","gbk17.t1","gbk18.t1","sv1.t1","sv2.t1","sv3.t1","sv4.t1","sv5.t1","sv6.t1","sv7.t1","sv8.t1","sv9.t1","sv10.t1","sv11.t1","sv12.t1","sv13.t1","sv14.t1","sv15.t1","sv16.t1","sv17.t1","sv18.t1","so1.t1","so2.t1","so3.t1","so4.t1","so5.t1","so6.t1","so7.t1","so8.t1","so9.t1","so10.t1","so11.t1","so12.t1","so13.t1","sr1.t1","sr2.t1","sr3.t1","sr4.t1","sr5.t1","sr6.t1","sr7.t1","age.t1","gender.t1","edu.t1","income.t1","pol_orient.t1","gender.t1.d"
0,728,1,1,4,4,4,4,4,4,2,2,3,2,1,1,2,3,1,2,3,2,2,1,5,4,1,1,1,6,1,5,1,1,2,4,6,6,6,1,2,1,7,7,7,7,7,7,7,7,7,7,7,5,5,5,6,6,2,2,4,3,3,2,4,4,3,4,4,4,5,4,4,3,3,3,3,3,2,3,63,1,7,6,24,1
1,1034,2,1,2,3,3,2,1,3,3,3,4,4,3,1,4,1,4,2,1,5,3,4,2,1,1,1,1,5,5,5,5,5,4,7,7,3,5,7,2,2,7,7,7,7,5,5,4,4,4,4,4,6,6,5,7,5,6,2,4,3,5,2,5,1,3,3,3,5,3,4,4,3,5,4,3,3,5,5,24,1,3,2,37,1
1,559,3,1,4,4,4,4,3,3,2,2,3,2,1,3,3,2,4,5,2,5,4,4,2,5,5,5,5,5,5,6,2,2,5,4,4,5,5,2,5,2,5,5,5,3,2,6,6,6,2,6,6,6,6,6,6,6,2,6,4,3,4,3,2,2,4,5,4,4,4,5,5,5,4,4,5,4,5,4,18,1,3,2,31,1
0,662,4,1,4,4,3,3,4,3,3,3,3,1,2,1,4,3,4,2,2,4,2,4,6,4,5,1,2,2,1,1,5,5,5,4,6,6,6,3,2,1,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,6,7,6,4,5,5,2,5,5,4,5,5,5,5,5,5,2,4,2,2,2,4,2,25,1,5,3,25,1
0,885,5,1,3,3,2,2,2,2,3,3,4,4,2,3,3,3,3,4,3,4,4,4,6,6,2,3,1,5,2,4,2,1,3,4,3,3,5,5,5,3,5,3,5,2,2,3,4,5,3,3,2,7,6,6,5,2,2,4,3,3,2,3,5,2,3,4,5,4,5,4,4,2,4,2,2,2,2,2,18,1,3,3,27,1
1,730,6,1,1,1,1,1,1,1,5,5,5,5,5,4,2,3,1,4,2,1,3,1,7,4,1,1,1,5,1,4,1,1,6,4,6,6,4,3,7,6,5,6,6,5,5,5,3,5,5,2,5,1,5,1,1,5,5,6,4,4,1,2,4,5,1,5,5,5,5,5,5,3,4,1,4,3,1,4,47,1,3,6,1,1
1,393,7,1,2,2,3,2,2,3,4,4,3,4,4,4,4,2,3,4,2,5,2,5,3,5,3,2,3,5,4,5,5,5,5,4,6,5,4,6,2,2,6,6,6,6,6,6,6,5,5,5,5,6,6,5,4,5,2,2,5,4,3,1,5,5,4,5,5,5,5,5,5,3,4,2,2,3,5,4,23,1,5,4,5,1
1,532,8,1,4,4,4,3,5,3,2,2,3,3,1,1,3,5,4,4,2,5,3,5,5,5,1,3,3,7,1,5,7,1,7,4,7,7,7,1,5,5,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,1,1,4,1,2,2,3,4,5,5,5,5,3,4,3,4,4,4,4,2,4,2,50,1,4,3,52,1
1,724,9,1,4,3,3,3,2,3,2,2,2,2,1,2,4,1,5,2,1,5,1,4,5,7,2,1,2,7,4,4,1,1,6,4,5,2,6,2,5,5,7,5,7,7,7,7,6,7,5,5,6,7,6,7,7,2,2,2,4,4,4,2,4,5,3,5,3,4,4,5,5,2,4,2,3,2,2,4,29,1,4,3,32,1
0,1646,10,1,4,4,3,3,4,4,2,2,2,1,1,1,4,1,3,1,1,4,2,3,6,6,1,1,1,6,2,6,1,1,6,4,7,7,7,1,1,2,5,5,5,5,5,5,5,6,6,5,5,6,6,6,3,2,2,2,5,2,5,2,5,5,3,5,4,5,5,5,5,2,5,2,5,2,1,4,61,2,7,6,60,0
